StudyFolder, ScenarioName, Did the driver signal, How does vehicle speed change?                     , How does pedestrian speed change?                   , Who has the right of way?（Who reached the intersection first?）, Who went first？   , Did the pedestrian use hand gestures?, Did the driver use hand gestures?
           ,             , Yes / No             , Slowing down / Speeding up / No change / Not moving, Slowing down / Speeding up / No change / Not walking, Driver / Pedestrian / Both / Neither                            , Driver / Pedestrian, Yes / No                             , Yes / No
PedNYC1    ,            3, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC1    ,            7, No                   , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC1    ,           12, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC1    ,           15, Yes                  , Not moving                                         , Slowing down                                        , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC1    ,           16, No                   , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC1    ,           21, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC2    ,            3, No                   , Slowing down                                       , No change                                           , Driver                                                          , Driver             , No                                   , 
PedNYC2    ,            7, No                   , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC2    ,           12, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC2    ,           15, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC2    ,           16, No                   , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC2    ,           21, No                   , No change                                          , No change                                           , Neither                                                         , Pedestrian         , No                                   , 
PedNYC3    ,            3, Yes                  , Slowing down                                       , Slowing down                                        , Both                                                            , Driver             , Yes                                  , 
PedNYC3    ,            7, No                   , No change                                          , Slowing down                                        , Pedestrian                                                      , Driver             , No                                   , 
PedNYC3    ,           12, Yes                  , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC3    ,           15, Yes                  , Not moving                                         , Not walking                                         , Pedestrian                                                      , Driver             , No                                   , 
PedNYC3    ,           16, No                   , Slowing down                                       , Not walking                                         , Both                                                            , Driver             , No                                   , 
PedNYC3    ,           21, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC4    ,            3, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC4    ,            7, No                   , Speeding up                                        , No change                                           , Driver                                                          , Driver             , No                                   , 
PedNYC4    ,           12, Yes                  , Slowing down                                       , Slowing down                                        , Both                                                            , Driver             , No                                   , 
PedNYC4    ,           15, Yes                  , Slowing down                                       , Not walking                                         , Pedestrian                                                      , Driver             , Yes                                  , 
PedNYC4    ,           16, No                   , No change                                          , Not walking                                         , Both                                                            , Driver             , No                                   , 
PedNYC4    ,           21, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC5    ,            3, Yes                  , Slowing down                                       , Slowing down                                        , Driver                                                          , Driver             , No                                   , 
PedNYC5    ,            7, No                   , Speeding up                                        , No change                                           , Driver                                                          , Driver             , No                                   , 
PedNYC5    ,           12, Yes                  , No change                                          , Not walking                                         , Both                                                            , Driver             , No                                   , 
PedNYC5    ,           15, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , Yes                                  , 
PedNYC5    ,           16, No                   , Slowing down                                       , Slowing down                                        , Both                                                            , Driver             , No                                   , 
PedNYC5    ,           21, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC6    ,            3,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC6    ,            7, No                   , Slowing down                                       , No change                                           , Driver                                                          , Driver             , No                                   , 
PedNYC6    ,           12,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC6    ,           15, Yes                  , Not moving                                         , Not walking                                         , Both                                                            , Driver             , Yes                                  , 
PedNYC6    ,           16,                      ,                                                    ,                                                     ,                                                                 ,                    ,                                      , 
PedNYC6    ,           21, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC7    ,            3, Yes                  , Slowing down                                       , No change                                           , Driver                                                          , Driver             , No                                   , 
PedNYC7    ,            7, No                   , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC7    ,           12, Yes                  , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC7    ,           15, No                   , No change                                          , Slowing down                                        , Both                                                            , Driver             , No                                   , 
PedNYC7    ,           16, No                   , Slowing down                                       , Slowing down                                        , Both                                                            , Driver             , No                                   , 
PedNYC7    ,           21, No                   , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC8    ,            3, Yes                  , Slowing down                                       , Speeding up                                         , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC8    ,            7, No                   , Slowing down                                       , Not walking                                         , Pedestrian                                                      , Driver             , No                                   , 
PedNYC8    ,           12, Yes                  , Slowing down                                       , No change                                           , Both                                                            , Pedestrian         , No                                   , 
PedNYC8    ,           15, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC8    ,           16, No                   , No change                                          , No change                                           , Both                                                            , Driver             , No                                   , 
PedNYC8    ,           21, Yes                  , Slowing down                                       , No change                                           , Pedestrian                                                      , Pedestrian         , No                                   , 
PedNYC9    ,            3, Yes                  , Slowing down                                       , Slowing down                                        , Pedestrian                                                      , Pedestrian         , Yes                                  , 
