source_file,source_relative,study,study_number,scenario,session,file_size_bytes,modified_time_utc
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-101_Session-temp_2024-02-22-13-58-23.csv,PedNYC1/csv/CSV_Scenario-Ped-101_Session-temp_2024-02-22-13-58-23.csv,PedNYC1,1,101,temp_2024-02-22-13-58-23,5679676,2026-07-21T19:37:07.563865900+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-102_Session-temp_2024-02-22-14-03-29.csv,PedNYC1/csv/CSV_Scenario-Ped-102_Session-temp_2024-02-22-14-03-29.csv,PedNYC1,1,102,temp_2024-02-22-14-03-29,4641236,2026-07-21T19:37:07.636785507+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-103_Session-temp_2024-02-22-14-05-41.csv,PedNYC1/csv/CSV_Scenario-Ped-103_Session-temp_2024-02-22-14-05-41.csv,PedNYC1,1,103,temp_2024-02-22-14-05-41,4543434,2026-07-21T19:37:07.715923071+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-104_Session-temp_2024-02-22-14-01-04.csv,PedNYC1/csv/CSV_Scenario-Ped-104_Session-temp_2024-02-22-14-01-04.csv,PedNYC1,1,104,temp_2024-02-22-14-01-04,4612814,2026-07-21T19:37:07.807480097+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-105_Session-temp_2024-02-22-14-07-56.csv,PedNYC1/csv/CSV_Scenario-Ped-105_Session-temp_2024-02-22-14-07-56.csv,PedNYC1,1,105,temp_2024-02-22-14-07-56,4111249,2026-07-21T19:37:07.868385792+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-106_Session-temp_2024-02-22-13-33-36.csv,PedNYC1/csv/CSV_Scenario-Ped-106_Session-temp_2024-02-22-13-33-36.csv,PedNYC1,1,106,temp_2024-02-22-13-33-36,10481483,2026-07-21T19:37:08.063330412+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-12_Session-temp_2024-02-22-13-46-30.csv,PedNYC1/csv/CSV_Scenario-Ped-12_Session-temp_2024-02-22-13-46-30.csv,PedNYC1,1,12,temp_2024-02-22-13-46-30,3587571,2026-07-21T19:37:08.120233059+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-15_Session-temp_2024-02-22-13-40-39.csv,PedNYC1/csv/CSV_Scenario-Ped-15_Session-temp_2024-02-22-13-40-39.csv,PedNYC1,1,15,temp_2024-02-22-13-40-39,5722219,2026-07-21T19:37:08.201245546+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-16_Session-temp_2024-02-22-13-43-46.csv,PedNYC1/csv/CSV_Scenario-Ped-16_Session-temp_2024-02-22-13-43-46.csv,PedNYC1,1,16,temp_2024-02-22-13-43-46,4060812,2026-07-21T19:37:08.263111830+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-21_Session-temp_2024-02-22-13-55-32.csv,PedNYC1/csv/CSV_Scenario-Ped-21_Session-temp_2024-02-22-13-55-32.csv,PedNYC1,1,21,temp_2024-02-22-13-55-32,5212759,2026-07-21T19:37:08.328890800+00:00
