source_file,output_file,study,scenario,session,input_rows,output_rows,input_columns,output_columns,decoded_column_count,malformed_cell_count,status,warnings,error_message,runtime_seconds,completed_time_utc
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-101_Session-temp_2024-02-22-13-58-23.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-101_Session-temp_2024-02-22-13-58-23_decoded.csv,PedNYC1,101,temp_2024-02-22-13-58-23,983.0,983.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.380371200008085,2026-07-21T22:13:59.016768+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-102_Session-temp_2024-02-22-14-03-29.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-102_Session-temp_2024-02-22-14-03-29_decoded.csv,PedNYC1,102,temp_2024-02-22-14-03-29,803.0,803.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.30063589999917895,2026-07-21T22:13:59.324299+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-103_Session-temp_2024-02-22-14-05-41.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-103_Session-temp_2024-02-22-14-05-41_decoded.csv,PedNYC1,103,temp_2024-02-22-14-05-41,786.0,786.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.2690292000188492,2026-07-21T22:13:59.612839+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-104_Session-temp_2024-02-22-14-01-04.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-104_Session-temp_2024-02-22-14-01-04_decoded.csv,PedNYC1,104,temp_2024-02-22-14-01-04,798.0,798.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.3849660000123549,2026-07-21T22:14:00.004912+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-105_Session-temp_2024-02-22-14-07-56.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-105_Session-temp_2024-02-22-14-07-56_decoded.csv,PedNYC1,105,temp_2024-02-22-14-07-56,711.0,711.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.3379966000211425,2026-07-21T22:14:00.352974+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-106_Session-temp_2024-02-22-13-33-36.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-106_Session-temp_2024-02-22-13-33-36_decoded.csv,PedNYC1,106,temp_2024-02-22-13-33-36,1815.0,1815.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.6399126999895088,2026-07-21T22:14:00.998836+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-12_Session-temp_2024-02-22-13-46-30.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-12_Session-temp_2024-02-22-13-46-30_decoded.csv,PedNYC1,12,temp_2024-02-22-13-46-30,620.0,620.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.25101659999927506,2026-07-21T22:14:01.257856+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-15_Session-temp_2024-02-22-13-40-39.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-15_Session-temp_2024-02-22-13-40-39_decoded.csv,PedNYC1,15,temp_2024-02-22-13-40-39,990.0,990.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.41290190001018345,2026-07-21T22:14:01.676819+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-16_Session-temp_2024-02-22-13-43-46.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-16_Session-temp_2024-02-22-13-43-46_decoded.csv,PedNYC1,16,temp_2024-02-22-13-43-46,702.0,702.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.3084298000030685,2026-07-21T22:14:01.993379+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-21_Session-temp_2024-02-22-13-55-32.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-21_Session-temp_2024-02-22-13-55-32_decoded.csv,PedNYC1,21,temp_2024-02-22-13-55-32,902.0,902.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.32116960000712425,2026-07-21T22:14:02.322055+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-3_Session-temp_2024-02-22-13-48-59.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-3_Session-temp_2024-02-22-13-48-59_decoded.csv,PedNYC1,3,temp_2024-02-22-13-48-59,648.0,648.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.2183935999928508,2026-07-21T22:14:02.546066+00:00
C:\Users\patl5\OneDrive\Documents\BURE\xiang\PedNYC1\csv\CSV_Scenario-Ped-7_Session-temp_2024-02-22-13-38-21.csv,C:\Users\patl5\OneDrive\Documents\BURE\xiang\data\processed\decoded\PedNYC1\CSV_Scenario-Ped-7_Session-temp_2024-02-22-13-38-21_decoded.csv,PedNYC1,7,temp_2024-02-22-13-38-21,877.0,877.0,342.0,1006.0,,,skipped_valid,existing output validated; malformed count unavailable without repeating decode,,0.37609960002009757,2026-07-21T22:14:02.929142+00:00
